day,seed,scenario,factor,aco,ipr,total,fills_aco,fills_ipr
-1,42,80pct_no_maf,0.8,2814.0,73102.0,75916.0,1124,1396
-1,42,100pct_baseline,1.0,3370.0,72564.0,75934.0,1272,1716
-1,42,125pct_maf,1.25,4086.0,71830.0,75916.0,1462,2126
-1,7,80pct_no_maf,0.8,2859.0,73063.0,75922.0,1118,1446
-1,7,100pct_baseline,1.0,3370.0,72564.0,75934.0,1272,1716
-1,7,125pct_maf,1.25,4086.0,71830.0,75916.0,1462,2126
-1,99,80pct_no_maf,0.8,2691.0,73036.0,75727.0,1090,1410
-1,99,100pct_baseline,1.0,3370.0,72564.0,75934.0,1272,1716
-1,99,125pct_maf,1.25,4086.0,71830.0,75916.0,1462,2126
0,42,80pct_no_maf,0.8,1544.0,75474.0,77018.0,1154,1372
0,42,100pct_baseline,1.0,2031.0,74598.0,76629.0,1326,1706
0,42,125pct_maf,1.25,2502.0,73709.0,76211.0,1494,2114
0,7,80pct_no_maf,0.8,1506.0,75244.0,76750.0,1138,1398
0,7,100pct_baseline,1.0,2031.0,74598.0,76629.0,1326,1706
0,7,125pct_maf,1.25,2502.0,73709.0,76211.0,1494,2114
0,99,80pct_no_maf,0.8,1475.0,75265.0,76740.0,1136,1398
0,99,100pct_baseline,1.0,2031.0,74598.0,76629.0,1326,1706
0,99,125pct_maf,1.25,2502.0,73709.0,76211.0,1494,2114
1,42,80pct_no_maf,0.8,1756.0,71799.0,73555.0,1212,1524
1,42,100pct_baseline,1.0,2539.0,70844.0,73383.0,1424,1862
1,42,125pct_maf,1.25,3355.0,69760.0,73115.0,1688,2312
1,7,80pct_no_maf,0.8,1748.0,71142.0,72890.0,1184,1540
1,7,100pct_baseline,1.0,2539.0,70844.0,73383.0,1424,1862
1,7,125pct_maf,1.25,3355.0,69760.0,73115.0,1688,2312
1,99,80pct_no_maf,0.8,1822.0,71204.0,73026.0,1200,1516
1,99,100pct_baseline,1.0,2539.0,70844.0,73383.0,1424,1862
1,99,125pct_maf,1.25,3355.0,69760.0,73115.0,1688,2312
